signal_source,feature_mode,autocorr,snr,between_tract,arch,seed,tract_fips,method,recovery_r,morans_i_true,morans_i_output,wtvr_achieved,generator_commit
latent,na,weak,low,low,na,42,47065000600,dasymetric,0.004258257230099196,0.015049706176761622,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065000600,pycnophylactic,-0.016617819555354286,0.015049706176761622,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065000600,ceiling_gbm,-0.03112330290864421,0.015049706176761622,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065000600,granite,-0.05006046694891429,0.015049706176761622,0.9782175160929888,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065000700,dasymetric,-0.010050763730602572,0.010198537546069728,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065000700,pycnophylactic,-0.0026864581103776255,0.010198537546069728,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065000700,ceiling_gbm,0.022227176490422558,0.010198537546069728,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065000700,granite,0.01608053667977721,0.010198537546069728,0.9902095615132567,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065001200,dasymetric,-0.00010129966445395104,0.005266947893228861,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065001200,pycnophylactic,-0.04824193436960171,0.005266947893228861,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065001200,ceiling_gbm,-0.009661712019919496,0.005266947893228861,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065001200,granite,0.009670465332955458,0.005266947893228861,0.989866434639591,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065001800,dasymetric,0.009500456173942967,-0.0038362933474508096,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065001800,pycnophylactic,-0.011023585988563327,-0.0038362933474508096,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065001800,ceiling_gbm,0.018466186288449305,-0.0038362933474508096,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065001800,granite,-0.0236679338929846,-0.0038362933474508096,0.9834441284302923,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065001900,dasymetric,0.0023636490922670336,0.0021080849712515866,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065001900,pycnophylactic,-0.012153800207263109,0.0021080849712515866,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065001900,ceiling_gbm,-0.016037614727229137,0.0021080849712515866,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065001900,granite,-0.0020199651263861774,0.0021080849712515866,0.989620695173888,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065002400,dasymetric,-0.011601033512239586,0.027633192017082916,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065002400,pycnophylactic,0.01064326912023501,0.027633192017082916,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065002400,ceiling_gbm,0.023696926730288285,0.027633192017082916,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065002400,granite,-0.007689814767742792,0.027633192017082916,0.9863686753643567,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065003400,dasymetric,-0.04557860426899118,-0.003800567259243368,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065003400,pycnophylactic,-0.009005651767820137,-0.003800567259243368,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065003400,ceiling_gbm,0.06087894007514546,-0.003800567259243368,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065003400,granite,0.00620822043107818,-0.003800567259243368,0.9925387424780133,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065010431,dasymetric,-0.01849247274348139,0.026184187333403455,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065010431,pycnophylactic,0.0037998871771257113,0.026184187333403455,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065010431,ceiling_gbm,0.05870743194505069,0.026184187333403455,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065010431,granite,0.017996955100687283,0.026184187333403455,0.9951909666267499,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065010433,dasymetric,0.027794577781915235,0.008178296116569918,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065010433,pycnophylactic,-0.02128079633596133,0.008178296116569918,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065010433,ceiling_gbm,0.0046447490647935534,0.008178296116569918,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065010433,granite,-0.028830927888841014,0.008178296116569918,0.9792193027216155,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065010435,dasymetric,-0.004027283422364755,0.012866568690253264,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065010435,pycnophylactic,-0.009646040777811006,0.012866568690253264,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065010435,ceiling_gbm,0.0001193094365511328,0.012866568690253264,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065010435,granite,0.0065435503976535355,0.012866568690253264,0.994722506928367,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011311,dasymetric,0.027431261244248387,0.02015999011309549,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011311,pycnophylactic,0.002532084032830219,0.02015999011309549,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011311,ceiling_gbm,0.023759106262367453,0.02015999011309549,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065011311,granite,-0.017832122418918833,0.02015999011309549,0.9929907357824515,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011321,dasymetric,0.012503747736652849,0.00753434109969016,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011321,pycnophylactic,0.010849998219838774,0.00753434109969016,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011321,ceiling_gbm,0.07002470202491122,0.00753434109969016,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065011321,granite,0.002543871717035815,0.00753434109969016,0.9913160433112903,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011324,dasymetric,0.3108858959600086,-0.1609159194404742,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011324,pycnophylactic,0.06532400720754333,-0.1609159194404742,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011324,ceiling_gbm,-0.38779541360881475,-0.1609159194404742,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,coordinates_only,weak,low,low,sage,42,47065011324,granite,-0.2398993964360633,-0.1609159194404742,0.1786989470256904,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011325,dasymetric,0.030247563399728814,0.01203040708305649,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
latent,na,weak,low,low,na,42,47065011325,pycnophylactic,0.001995844207902392,0.01203040708305649,,0.5429887920348985,cdc860a4d36cbadb0e6e9865cd31c55d89aaa81b
