feature,mean_drop,std_drop,n_tracts,rank
employment_count_5min,0.006748636296833865,0.02648283794481907,20,1
grocery_modal_access_gap,0.0029142438857434174,0.007434148834397577,20,2
grocery_transit_dependence,0.0013925773317168932,0.005266905754897022,20,3
nlcd_tree_canopy_pct,0.0012144780775997788,0.010550059114156133,20,4
grocery_count_5min,0.0009821826229654107,0.0037473464526875384,20,5
grocery_count_15min,0.0006412655333406292,0.014044722509060232,20,6
grocery_car_effective_access,0.0005982303734526795,0.0018322679678595326,20,7
grocery_median_time,0.0005874371428944869,0.0016803540863648161,20,8
healthcare_car_effective_access,0.0004402917758852709,0.005611093548425672,20,9
healthcare_forced_walk_burden,0.0003931271965029737,0.0013041913127653595,20,10
build_to_land_ratio,0.0003304809202290926,0.000985280285894018,20,11
healthcare_median_time,0.00023449542459275108,0.0018713416514278185,20,12
healthcare_mean_time,0.00022786201607232214,0.0027287450662706577,20,13
log_appvalue,7.443725994562555e-05,0.00035237870788443865,20,14
proptype_rental_40pct,5.987823067812315e-05,0.00018773228234496487,20,15
healthcare_time_range,5.415797222667607e-05,0.00019530962801179657,20,16
employment_forced_walk_burden,4.8823945417098005e-05,0.0019127264086974901,20,17
healthcare_count_5min,2.353906388634641e-05,0.0005660234517221757,20,18
lucode_other,1.9957422884431254e-05,0.00011932128669781403,20,19
employment_mean_time,1.8443485419084028e-05,0.0025213112597375015,20,20
grocery_percentile,1.635432154216687e-05,0.0005411955188574115,20,21
employment_min_time,1.3568397889685002e-05,0.0006639374523019614,20,22
employment_percentile,1.2588499430421507e-05,0.0006651227218492134,20,23
log_bldg_footprint_m2,9.227395111111036e-06,0.00032996285530446484,20,24
grocery_time_range,2.000927952394704e-06,1.008609541370573e-05,20,25
in_sfha,1.2421607465284978e-06,1.781714445342922e-05,20,26
lucode_industrial,4.047155357511656e-07,6.563183557826489e-06,20,27
employment_drive_advantage,1.4722346577400459e-07,4.192431633037562e-06,20,28
pct_uninsured,0.0,0.0,20,29
pct_no_vehicle,0.0,0.0,20,30
housing_units,0.0,0.0,20,31
pct_no_hs_diploma,0.0,0.0,20,32
pct_crowded,0.0,0.0,20,33
population,0.0,0.0,20,34
pct_poverty,0.0,0.0,20,35
pct_unemployed,0.0,0.0,20,36
pct_mobile_homes,0.0,0.0,20,37
lucode_commercial,-1.1444091114753974e-07,1.4062462997748531e-06,20,38
lucode_residential,-1.3649449783770252e-07,7.004901896823582e-05,20,39
employment_time_range,-9.536742254567798e-07,1.1453122749588113e-05,20,40
healthcare_drive_advantage,-1.8513202746817114e-06,9.513850326765833e-06,20,41
grocery_drive_advantage,-2.418160448769413e-06,8.714269249490731e-06,20,42
proptype_cha_housing,-3.16441037284676e-06,2.974856564023649e-05,20,43
healthcare_count_10min,-3.406408086448209e-06,0.000642628232330369,20,44
employment_dispersion,-4.530549017545127e-06,4.6231080421432987e-05,20,45
healthcare_min_time,-9.431233047507704e-06,0.002371944963348413,20,46
grocery_dispersion,-1.0593533670544274e-05,2.865239976430334e-05,20,47
healthcare_dispersion,-1.1378526767202857e-05,6.02583413997397e-05,20,48
proptype_commercial,-2.1466016505655716e-05,7.748924721434438e-05,20,49
log_acres,-2.8005837486944073e-05,0.000399702362702871,20,50
healthcare_count_15min,-5.725920250370109e-05,0.0011777004856930746,20,51
proptype_apartment_10plus,-6.647407965374442e-05,0.00027271907518199663,20,52
proptype_residential,-7.596135580456576e-05,0.00048787674096479667,20,53
is_residential,-8.308946948432094e-05,0.0003919299229496144,20,54
healthcare_walk_effective_access,-0.00010772526273399308,0.0005202547232001682,20,55
healthcare_percentile,-0.00016935229516548133,0.0003930788781653305,20,56
employment_car_effective_access,-0.00023277462547639517,0.0028495729100044605,20,57
bldg_vertex_count,-0.0002568119822342396,0.0011126335696967887,20,58
nlcd_land_cover,-0.0004058796092067496,0.0014332727367658323,20,59
grocery_forced_walk_burden,-0.00041578413747629385,0.002332621560264901,20,60
grocery_min_time,-0.0004246491129379137,0.0012782900542149228,20,61
employment_transit_dependence,-0.00046775578859410417,0.0014107928314880773,20,62
employment_median_time,-0.0004985165768403022,0.004081446830759354,20,63
grocery_mean_time,-0.0007454168659478455,0.002129798759759782,20,64
grocery_count_10min,-0.0010229355706542266,0.009006833105346227,20,65
employment_modal_access_gap,-0.0015804368275894377,0.005373336538161661,20,66
grocery_walk_effective_access,-0.0021901166648603974,0.008952426116550219,20,67
healthcare_transit_dependence,-0.002313289636731497,0.003686603491988379,20,68
healthcare_modal_access_gap,-0.002679818843898829,0.014838799292225232,20,69
nlcd_impervious_pct,-0.002846965129720047,0.0108404749252284,20,70
employment_count_10min,-0.008916949527701945,0.04043674000550847,20,71
employment_count_15min,-0.01229259029860259,0.0676101717506855,20,72
employment_walk_effective_access,-0.02097269811638398,0.08602420645569096,20,73
