feature,mean_drop,std_drop,n_tracts,rank
employment_count_10min,0.019490944034623682,0.13391190635682365,20,1
nlcd_tree_canopy_pct,0.003209793032874586,0.010864243548601564,20,2
grocery_modal_access_gap,0.0012342667614575475,0.006623562343849932,20,3
employment_forced_walk_burden,0.0011376628401194467,0.0036438376670529806,20,4
grocery_mean_time,0.0004058835029468355,0.0015074491617497624,20,5
healthcare_count_10min,0.0003285482489786773,0.0012478932539921968,20,6
healthcare_min_time,0.0003207093365745095,0.00246939528653721,20,7
lucode_residential,0.00028160035582232014,0.0012229589405493195,20,8
healthcare_percentile,0.0002259069644082956,0.0006298793000402944,20,9
log_appvalue,0.00021655409786944802,0.001142387137608746,20,10
grocery_percentile,0.00019381344666271615,0.0004886471033988046,20,11
grocery_forced_walk_burden,0.00018245994835979217,0.0013366902530639038,20,12
lucode_other,0.00016500711709341865,0.0007223933665210369,20,13
bldg_vertex_count,0.0001639827999042609,0.0013345069218894032,20,14
healthcare_median_time,0.00014824003750621984,0.0015240676748416325,20,15
healthcare_mean_time,0.0001386579869176785,0.0009907351203138515,20,16
employment_mean_time,0.0001351502506622637,0.000846679837323126,20,17
healthcare_count_15min,9.054750061636696e-05,0.0004281790166884457,20,18
grocery_count_10min,7.817956902727019e-05,0.006204804363775258,20,19
healthcare_forced_walk_burden,7.334470944897475e-05,0.000502068860446565,20,20
employment_car_effective_access,6.427853877539746e-05,0.0008837764981333234,20,21
proptype_rental_40pct,3.0837356860047294e-05,0.00014257092985994608,20,22
in_sfha,1.699686002893941e-05,8.5628839086386e-05,20,23
proptype_residential,1.6346873542261166e-05,0.00015533215944590735,20,24
grocery_dispersion,1.2489259233916528e-05,2.817662701024548e-05,20,25
proptype_apartment_10plus,8.157193426683308e-06,0.00010053334143509307,20,26
grocery_drive_advantage,3.5285949024910224e-06,1.2772491366827852e-05,20,27
employment_dispersion,3.49223604416693e-06,3.122383066459135e-05,20,28
healthcare_time_range,2.5552517286087094e-06,0.00010030088516592583,20,29
healthcare_dispersion,1.5625356468262908e-06,3.902164651539422e-05,20,30
healthcare_drive_advantage,1.1730194103165558e-06,1.0281313208447e-05,20,31
employment_drive_advantage,6.866455350973411e-07,5.9688290206447295e-06,20,32
pct_unemployed,0.0,0.0,20,33
pct_poverty,0.0,0.0,20,34
pct_uninsured,0.0,0.0,20,35
housing_units,0.0,0.0,20,36
pct_mobile_homes,0.0,0.0,20,37
pct_no_vehicle,0.0,0.0,20,38
pct_crowded,0.0,0.0,20,39
pct_no_hs_diploma,0.0,0.0,20,40
population,0.0,0.0,20,41
lucode_commercial,-8.106231689453125e-07,2.6122028386798164e-06,20,42
employment_time_range,-8.869171210790228e-07,3.820853547772633e-06,20,43
lucode_industrial,-1.0204315117334772e-06,3.740326044068862e-06,20,44
proptype_cha_housing,-2.6798249791681884e-06,3.5996000517208e-05,20,45
proptype_commercial,-4.094540918231359e-06,3.654189433782072e-05,20,46
grocery_time_range,-4.477501056499022e-06,1.8199161638724035e-05,20,47
is_residential,-9.05036969243156e-06,8.635156703047872e-05,20,48
log_bldg_footprint_m2,-4.760354847803683e-05,0.00027338440883540005,20,49
grocery_min_time,-7.289767557949745e-05,0.0009063908908343887,20,50
nlcd_land_cover,-0.00010937571607883001,0.0008546674994293667,20,51
grocery_car_effective_access,-0.0001467272516634921,0.005082745396603408,20,52
healthcare_modal_access_gap,-0.00016850166985022953,0.0070369039299623065,20,53
employment_percentile,-0.00019303977486515578,0.00041370961401288194,20,54
employment_min_time,-0.00019649922131073083,0.0016372446642414146,20,55
healthcare_count_5min,-0.00022140384612612252,0.0010401143789852498,20,56
build_to_land_ratio,-0.00026020378115845235,0.0011364511854524296,20,57
log_acres,-0.00026400773923569433,0.0011697688294297094,20,58
healthcare_car_effective_access,-0.0003779360780754359,0.0034200935045279194,20,59
employment_transit_dependence,-0.00039058713947923704,0.002107114673118562,20,60
employment_modal_access_gap,-0.00044497012813735635,0.0033745413397248203,20,61
employment_median_time,-0.00046986556035335527,0.0052497263409563575,20,62
grocery_median_time,-0.0005839073603226552,0.0011503823824567275,20,63
healthcare_walk_effective_access,-0.0006339946450680145,0.0018211867157502163,20,64
employment_count_5min,-0.0007832757648429834,0.021859406682128765,20,65
grocery_transit_dependence,-0.0008506101471766669,0.002702802442669463,20,66
grocery_count_5min,-0.0008636796544124082,0.00395552509854069,20,67
healthcare_transit_dependence,-0.0012899580666271503,0.006324453949331125,20,68
nlcd_impervious_pct,-0.0013368319314395194,0.015472168408831914,20,69
grocery_count_15min,-0.0025918966632161753,0.014312591515533168,20,70
grocery_walk_effective_access,-0.0032813936475577067,0.0074809425759092925,20,71
employment_walk_effective_access,-0.00631997243153819,0.09000025817643398,20,72
employment_count_15min,-0.01169856903143227,0.09738073502050876,20,73
