fips,method,n_addresses,n_bgs,bg_r,bg_rmse,constraint_error,spatial_std,runtime_s,failure
47065000600,GRANITE,2089,3,0.9344263928855994,0.12516943321335083,0.0,0.077084,41.64,
47065000600,Dasymetric,2089,3,-0.19020472932046176,0.15454942860161272,0.0,0.109468,0.0,
47065000600,Pycnophylactic,2089,3,-0.3525861076753054,0.16390638467267202,0.0,0.064743,0.0,
47065000700,GRANITE,1784,4,-0.36269330524205207,0.09206570902498817,0.0,0.038967,38.81,
47065000700,Dasymetric,1784,4,0.7867220229553649,0.07927210163205577,0.0,0.05942,0.0,
47065000700,Pycnophylactic,1784,4,-0.010542962317171918,0.09884021463442665,0.1092,0.075491,0.0,
47065001200,GRANITE,1420,3,-0.9997339331271317,0.09484328612694486,0.0,0.021784,36.03,
47065001200,Dasymetric,1420,3,0.34976274175160654,0.0874199067237908,0.0,0.03252,0.0,
47065001200,Pycnophylactic,1420,3,-0.1656263826495773,0.09432518809020905,0.0,0.028232,0.0,
47065001800,GRANITE,1411,2,-1.0,0.12233843399353188,0.0,0.083035,35.0,
47065001800,Dasymetric,1411,2,-1.0,0.12573895445721697,0.0,0.128902,0.0,
47065001800,Pycnophylactic,1411,2,-1.0,0.11928186362103402,0.0,0.027668,0.0,
47065001900,GRANITE,2469,3,-0.9455568207059581,0.03758463275823541,0.0,0.014119,42.59,
47065001900,Dasymetric,2469,3,0.8826980338122106,0.0339308924232282,0.0,0.008298,0.0,
47065001900,Pycnophylactic,2469,3,0.4799628303805081,0.02739596034764747,1.5264,0.048805,0.0,
47065002400,GRANITE,1918,4,0.38363477306344557,0.14999035614098155,0.0,0.035362,40.95,
47065002400,Dasymetric,1918,4,0.8476465720407491,0.14319527450666525,0.0,0.04134,0.0,
47065002400,Pycnophylactic,1918,4,0.20780438828062855,0.1525265223273122,0.0,0.037032,0.0,
47065003400,GRANITE,2559,3,0.9998860654819077,0.3540714721029024,0.0,0.035067,38.0,
47065003400,Dasymetric,2559,3,0.5801099552749212,0.355952682878651,0.0,0.065206,0.0,
47065003400,Pycnophylactic,2559,3,0.5366066310522846,0.3380922236103432,0.0,0.07979,0.0,
47065010431,GRANITE,3394,5,0.3901280788949699,0.1916622323052543,0.0,0.155438,45.41,
47065010431,Dasymetric,3394,5,0.9257743369841526,0.13894965666885678,0.0,0.216072,0.0,
47065010431,Pycnophylactic,3394,5,0.3738348656754925,0.19262463404956295,0.0,0.027134,0.0,
47065010433,GRANITE,2307,4,-0.9021792223098303,0.1963163624401052,0.0,0.164043,40.25,
47065010433,Dasymetric,2307,4,-0.5246006662557532,0.24051942448338282,0.0,0.202899,0.0,
47065010433,Pycnophylactic,2307,4,-0.09458383099905203,0.17851796170902132,0.0,0.018479,0.0,
47065010435,GRANITE,2780,4,-0.5797328545195939,0.3079783586587179,0.0,0.128606,41.97,
47065010435,Dasymetric,2780,4,0.9222983004516457,0.28402202325679815,0.0,0.086262,0.0,
47065010435,Pycnophylactic,2780,4,-0.7580140710623515,0.30822355956381065,0.0,0.063485,0.0,
47065011311,GRANITE,2358,6,0.18789055440463848,0.3241983803975526,0.0,0.106609,43.04,
47065011311,Dasymetric,2358,6,0.0798863018481025,0.3001207583104729,0.0,0.121794,0.0,
47065011311,Pycnophylactic,2358,6,0.9835865818564982,0.28088269013300465,0.0,0.068066,0.0,
47065011321,GRANITE,3756,4,0.4114427478882529,0.2656862462203665,0.0,0.105755,46.43,
47065011321,Dasymetric,3756,4,0.2531363194223126,0.2521876445920639,0.0,0.141917,0.0,
47065011321,Pycnophylactic,3756,4,-0.6217526910746628,0.28284799454664655,0.0,0.054984,0.0,
47065011324,GRANITE,18,1,,,0.0,0.041707,9.09,
47065011324,Dasymetric,18,1,,,0.0,0.017712,0.0,
47065011324,Pycnophylactic,18,1,,,0.0,0.0,0.0,
47065011325,GRANITE,1099,3,0.8843195143046284,0.15874690042359438,0.0,0.068884,34.7,
47065011325,Dasymetric,1099,3,0.9929963199361233,0.14913153296507475,0.0,0.089484,0.0,
47065011325,Pycnophylactic,1099,3,0.528921827041207,0.19133685310928186,0.0,0.067164,0.0,
47065011326,GRANITE,2738,3,0.6973587971796368,0.3653666441903309,0.0,0.067282,41.38,
47065011326,Dasymetric,2738,3,0.8180701795586802,0.303253562686978,0.0,0.225086,0.0,
47065011326,Pycnophylactic,2738,3,0.4906488962536897,0.37118873507373606,0.0,0.014941,0.0,
47065011402,GRANITE,2858,4,0.5377907112373246,0.15333889823617713,0.0,0.073311,40.81,
47065011402,Dasymetric,2858,4,0.40818081556069546,0.1599396427115728,0.0,0.135302,0.0,
47065011402,Pycnophylactic,2858,4,-0.6217366299302166,0.17819514972916892,0.0,0.01562,0.0,
47065011413,GRANITE,1442,5,-0.44520101444547444,0.21921486966927864,0.0,0.103972,34.17,
47065011413,Dasymetric,1442,5,0.8627148274459959,0.14145194129790475,0.0,0.153746,0.0,
47065011413,Pycnophylactic,1442,5,-0.48673529763059764,0.2101228426485518,0.0,0.031369,0.0,
47065011444,GRANITE,1934,2,1.0,0.1150629695786376,0.0,0.132717,36.15,
47065011444,Dasymetric,1934,2,-1.0,0.18116430906149197,0.0,0.099707,0.0,
47065011444,Pycnophylactic,1934,2,1.0,0.14062421808216283,0.0,0.029305,0.0,
47065011447,GRANITE,853,4,0.46448907953218993,0.05157791208501236,0.0,0.04939,33.23,
47065011447,Dasymetric,853,4,0.7897959224249019,0.03428557985006101,0.0,0.086162,0.0,
47065011447,Pycnophylactic,853,4,0.5713318387778743,0.041364397866111964,0.0,0.053814,0.0,
47065011900,GRANITE,348,2,1.0,0.06929340260946408,0.0,0.091458,28.74,
47065011900,Dasymetric,348,2,1.0,0.0703129142096934,0.0,0.156798,0.0,
47065011900,Pycnophylactic,348,2,1.0,0.08045435576986908,0.0,0.032081,0.0,
