feature,mean_drop,std_drop,n_tracts,rank
bldg_vertex_count,0.0,0.0,20,1
build_to_land_ratio,0.0,0.0,20,2
employment_car_effective_access,0.0,0.0,20,3
employment_count_10min,0.0,0.0,20,4
employment_count_15min,0.0,0.0,20,5
employment_count_5min,0.0,0.0,20,6
employment_dispersion,0.0,0.0,20,7
employment_drive_advantage,0.0,0.0,20,8
employment_forced_walk_burden,0.0,0.0,20,9
employment_mean_time,0.0,0.0,20,10
employment_median_time,0.0,0.0,20,11
employment_min_time,0.0,0.0,20,12
employment_modal_access_gap,0.0,0.0,20,13
employment_percentile,0.0,0.0,20,14
employment_time_range,0.0,0.0,20,15
employment_transit_dependence,0.0,0.0,20,16
employment_walk_effective_access,0.0,0.0,20,17
grocery_car_effective_access,0.0,0.0,20,18
grocery_count_10min,0.0,0.0,20,19
grocery_count_15min,0.0,0.0,20,20
grocery_count_5min,0.0,0.0,20,21
grocery_dispersion,0.0,0.0,20,22
grocery_drive_advantage,0.0,0.0,20,23
grocery_forced_walk_burden,0.0,0.0,20,24
grocery_mean_time,0.0,0.0,20,25
grocery_median_time,0.0,0.0,20,26
grocery_min_time,0.0,0.0,20,27
grocery_modal_access_gap,0.0,0.0,20,28
grocery_percentile,0.0,0.0,20,29
grocery_time_range,0.0,0.0,20,30
grocery_transit_dependence,0.0,0.0,20,31
grocery_walk_effective_access,0.0,0.0,20,32
healthcare_car_effective_access,0.0,0.0,20,33
healthcare_count_10min,0.0,0.0,20,34
healthcare_count_15min,0.0,0.0,20,35
healthcare_count_5min,0.0,0.0,20,36
healthcare_dispersion,0.0,0.0,20,37
healthcare_drive_advantage,0.0,0.0,20,38
healthcare_forced_walk_burden,0.0,0.0,20,39
healthcare_mean_time,0.0,0.0,20,40
healthcare_median_time,0.0,0.0,20,41
healthcare_min_time,0.0,0.0,20,42
healthcare_modal_access_gap,0.0,0.0,20,43
healthcare_percentile,0.0,0.0,20,44
healthcare_time_range,0.0,0.0,20,45
healthcare_transit_dependence,0.0,0.0,20,46
healthcare_walk_effective_access,0.0,0.0,20,47
housing_units,0.0,0.0,20,48
in_sfha,0.0,0.0,20,49
is_residential,0.0,0.0,20,50
log_acres,0.0,0.0,20,51
log_appvalue,0.0,0.0,20,52
log_bldg_footprint_m2,0.0,0.0,20,53
lucode_commercial,0.0,0.0,20,54
lucode_industrial,0.0,0.0,20,55
lucode_other,0.0,0.0,20,56
lucode_residential,0.0,0.0,20,57
nlcd_impervious_pct,0.0,0.0,20,58
nlcd_land_cover,0.0,0.0,20,59
nlcd_tree_canopy_pct,0.0,0.0,20,60
pct_crowded,0.0,0.0,20,61
pct_mobile_homes,0.0,0.0,20,62
pct_no_hs_diploma,0.0,0.0,20,63
pct_no_vehicle,0.0,0.0,20,64
pct_poverty,0.0,0.0,20,65
pct_unemployed,0.0,0.0,20,66
pct_uninsured,0.0,0.0,20,67
population,0.0,0.0,20,68
proptype_apartment_10plus,0.0,0.0,20,69
proptype_cha_housing,0.0,0.0,20,70
proptype_commercial,0.0,0.0,20,71
proptype_rental_40pct,0.0,0.0,20,72
proptype_residential,0.0,0.0,20,73
