fips,architecture,n_addresses,tract_svi,constraint_error,spatial_std,morans_i,bg_r,n_bgs,runtime_s,failure
47065011324,sage,18,0.0374,0.0,0.044346,0.499047,,1,14.85,
47065000700,sage,1784,0.1141,0.0,0.047261,0.670908,-0.9298032674160526,4,48.52,
47065011447,sage,853,0.165,1e-08,0.065631,0.686579,-0.009105584826244885,4,43.77,
47065011325,sage,1099,0.1713,1e-08,0.060971,0.893285,0.8116731567809801,3,44.44,
47065000600,sage,2089,0.2235,0.0,0.065953,0.831191,0.05602178848752594,3,50.27,
47065011413,sage,1442,0.2735,2e-08,0.017461,0.916242,0.29635201931884625,5,45.92,
47065011900,sage,348,0.2822,0.0,0.012663,0.959236,-1.0,2,39.44,
47065010431,sage,3394,0.3848,4e-08,0.004853,0.980775,0.7599519713384248,5,57.48,
47065010433,sage,2307,0.454,4e-08,0.006203,0.843982,0.18265187967038704,4,51.58,
47065011326,sage,2738,0.5102,8e-08,0.002888,0.923574,-0.7201355284085086,3,51.29,
47065001800,sage,1411,0.5471,2e-08,0.002039,0.768369,-1.0,2,44.53,
47065011402,sage,2858,0.5759,6e-08,0.000869,0.841229,-0.2385163017698662,4,51.75,
47065011321,sage,3756,0.6955,3e-08,0.002653,0.87924,0.014375843719337488,4,54.21,
47065011444,sage,1934,0.7088,5e-08,0.008728,0.962195,-1.0,2,45.28,
47065010435,sage,2780,0.7153,1e-08,0.002786,0.932472,-0.44369625206080066,4,50.94,
47065011311,sage,2358,0.7464,2e-08,0.005526,0.981026,0.22752014491334502,6,52.06,
47065003400,sage,2559,0.8797,4e-08,0.028718,0.921962,0.9174169492001834,3,48.64,
47065002400,sage,1918,0.8912,5e-08,0.044904,0.93288,0.9317362464460512,4,51.9,
47065001200,sage,1420,0.9066,1e-07,0.044276,0.934151,0.9250933851994867,3,44.44,
47065001900,sage,2469,0.9804,4e-08,0.019203,0.721656,0.9791405425359295,3,51.61,
47065011324,gcn_gat,18,0.0374,0.0,0.028384,0.251758,,1,11.52,
47065000700,gcn_gat,1784,0.1141,0.0,0.036412,0.703696,-0.8331667261923275,4,45.29,
47065011447,gcn_gat,853,0.165,2e-08,0.059381,0.865544,0.0624288147634504,4,40.82,
47065011325,gcn_gat,1099,0.1713,1e-08,0.055239,0.84866,-0.0984342289821984,3,41.78,
47065000600,gcn_gat,2089,0.2235,1e-08,0.063189,0.949352,-0.7834825512292983,3,46.35,
47065011413,gcn_gat,1442,0.2735,1e-08,0.062708,0.968921,0.3729830169082093,5,43.39,
47065011900,gcn_gat,348,0.2822,1e-08,0.098569,0.691505,1.0,2,37.48,
47065010431,gcn_gat,3394,0.3848,4e-08,0.04349,0.698032,-0.02043946906540703,5,53.32,
47065010433,gcn_gat,2307,0.454,3e-08,0.016651,0.473966,0.9154362696244326,4,47.44,
47065011326,gcn_gat,2738,0.5102,3e-08,0.011121,0.199688,-0.41071834528211965,3,50.41,
47065001800,gcn_gat,1411,0.5471,2e-08,0.004455,0.606096,-1.0,2,42.14,
47065011402,gcn_gat,2858,0.5759,0.0,0.015009,0.876965,0.9080042533524285,4,49.98,
47065011321,gcn_gat,3756,0.6955,6e-08,0.01264,0.520993,0.38878539172469967,4,54.0,
47065011444,gcn_gat,1934,0.7088,2e-08,0.007571,0.440513,1.0,2,44.61,
47065010435,gcn_gat,2780,0.7153,2e-08,0.01128,0.59976,-0.6545880062670938,4,49.74,
47065011311,gcn_gat,2358,0.7464,2e-08,0.013401,0.868666,-0.39302884875232114,6,49.83,
47065003400,gcn_gat,2559,0.8797,1e-08,0.028005,1.090599,0.7690865904749313,3,47.2,
47065002400,gcn_gat,1918,0.8912,2e-08,0.063863,0.983018,-0.010585911381551278,4,49.87,
47065001200,gcn_gat,1420,0.9066,6e-08,0.036985,0.941844,-0.5419541498017512,3,42.72,
47065001900,gcn_gat,2469,0.9804,2e-08,0.028622,0.83386,-0.9745485540405628,3,49.43,
