feature,mean_drop,std_drop,n_tracts,rank
employment_count_15min,0.0016000039817299695,0.01962784901499053,20,1
grocery_count_15min,0.00041595517759560605,0.001913684576227047,20,2
grocery_walk_effective_access,0.00026835738491399753,0.0013213801134629069,20,3
grocery_count_5min,9.915709622418945e-05,0.0003117980217903529,20,4
employment_median_time,3.978788841436653e-05,0.00021657655155189168,20,5
grocery_car_effective_access,2.0823481509069098e-05,0.0003606137823353655,20,6
grocery_min_time,1.9866229308718175e-05,0.00016192989918120757,20,7
log_appvalue,1.8191933077105204e-05,0.0001338523441708198,20,8
healthcare_walk_effective_access,1.7045140160121265e-05,0.00011584004980730653,20,9
log_acres,1.6257763246585454e-05,0.00010288515548197731,20,10
employment_min_time,1.3200044475070171e-05,3.364353819640659e-05,20,11
nlcd_land_cover,6.8354611954646314e-06,5.115372635521541e-05,20,12
proptype_apartment_10plus,6.047487204341451e-06,1.4812621488811056e-05,20,13
log_bldg_footprint_m2,4.47750074670239e-06,2.397829261257971e-05,20,14
healthcare_time_range,4.253387339758774e-06,1.8470511187934472e-05,20,15
employment_mean_time,4.163981449778475e-06,0.00012438724885823025,20,16
build_to_land_ratio,3.930926993689354e-06,7.063925286647154e-05,20,17
is_residential,3.7711858283273615e-06,1.1035814426986365e-05,20,18
proptype_rental_40pct,3.670454066195816e-06,2.1044831563251418e-05,20,19
proptype_commercial,2.365112291613514e-06,7.831741781915472e-06,20,20
grocery_median_time,2.0897391777907614e-06,0.00012904523510775512,20,21
grocery_dispersion,1.0180473310583694e-06,3.0779975098570213e-06,20,22
healthcare_forced_walk_burden,8.73804307843784e-07,3.816536538967365e-05,20,23
employment_percentile,8.594987889409822e-07,4.708486135237108e-05,20,24
in_sfha,7.838010674277029e-07,5.4761639704410066e-06,20,25
employment_dispersion,5.972385451968876e-07,4.031114907075907e-06,20,26
employment_drive_advantage,5.674362142826794e-07,1.6880659164647407e-06,20,27
proptype_cha_housing,3.707408950504032e-07,7.51307270949849e-06,20,28
lucode_residential,1.585483630606177e-07,1.6966883758020086e-05,20,29
grocery_drive_advantage,8.82148810887884e-08,2.318030383363072e-06,20,30
pct_mobile_homes,0.0,0.0,20,31
pct_no_hs_diploma,0.0,0.0,20,32
pct_no_vehicle,0.0,0.0,20,33
pct_unemployed,0.0,0.0,20,34
pct_crowded,0.0,0.0,20,35
housing_units,0.0,0.0,20,36
lucode_industrial,0.0,0.0,20,37
lucode_commercial,0.0,0.0,20,38
pct_poverty,0.0,0.0,20,39
pct_uninsured,0.0,0.0,20,40
population,0.0,0.0,20,41
lucode_other,-2.926588138052466e-07,1.3479677909301139e-05,20,42
employment_time_range,-3.612041382439202e-07,4.9718873485573435e-06,20,43
healthcare_drive_advantage,-3.65376467925671e-07,2.2379093997521438e-06,20,44
proptype_residential,-1.1187791528755042e-06,2.9345877192472022e-05,20,45
healthcare_dispersion,-1.3315678188519087e-06,5.995548238655363e-06,20,46
grocery_percentile,-1.467466586291266e-06,4.813101611583759e-05,20,47
grocery_time_range,-1.7333030768895696e-06,4.93484994056081e-06,20,48
healthcare_count_10min,-3.5959477827418595e-06,8.267611984775445e-05,20,49
grocery_transit_dependence,-9.955763130164996e-06,0.00020567650563956704,20,50
healthcare_percentile,-1.5546679378530825e-05,5.0235832092108374e-05,20,51
healthcare_median_time,-1.5989542703209736e-05,0.00011888097646544667,20,52
healthcare_count_5min,-2.2697448423514287e-05,8.556633539620013e-05,20,53
healthcare_count_15min,-2.3168922945160374e-05,0.00011754347329671213,20,54
employment_car_effective_access,-2.9263497725651178e-05,0.00022381796909286906,20,55
healthcare_mean_time,-3.439664848770008e-05,0.00018190630619149798,20,56
grocery_forced_walk_burden,-3.8943291519899505e-05,0.00017046695786679362,20,57
employment_forced_walk_burden,-4.5976044026474484e-05,0.0002732659363023336,20,58
employment_transit_dependence,-5.123614944295696e-05,0.0002565848566250736,20,59
healthcare_min_time,-5.246222286245938e-05,0.0002492376207250764,20,60
healthcare_car_effective_access,-5.4904223054563774e-05,0.0008310458913080716,20,61
grocery_mean_time,-6.095111351100968e-05,0.00019576315570431785,20,62
bldg_vertex_count,-6.503999512688096e-05,0.00025805166776548123,20,63
healthcare_transit_dependence,-7.444501407007919e-05,0.0008990025434605993,20,64
employment_modal_access_gap,-0.00012413621211635473,0.0003456122141204698,20,65
grocery_modal_access_gap,-0.0001423197987264757,0.0003204114860124108,20,66
employment_count_10min,-0.0001976334871869767,0.010999602615818822,20,67
nlcd_impervious_pct,-0.00022335112453220063,0.0013311105622562,20,68
nlcd_tree_canopy_pct,-0.00031402409185830036,0.0007716189945048542,20,69
healthcare_modal_access_gap,-0.0003447681641318923,0.0015626811240009827,20,70
grocery_count_10min,-0.0003853189935853152,0.0007076115226395267,20,71
employment_walk_effective_access,-0.0008094030672509689,0.0037269661897345566,20,72
employment_count_5min,-0.0016130835341755302,0.011217459194011938,20,73
