feature,mean_drop,std_drop,n_tracts,rank
employment_walk_effective_access,0.0035432858470073824,0.009759612628140053,20,1
employment_count_10min,0.00031926723504511757,0.002727086709066559,20,2
healthcare_modal_access_gap,0.0002699847481494544,0.0006924640409994459,20,3
grocery_count_10min,0.00025265187387049084,0.001328749062039933,20,4
grocery_walk_effective_access,0.00020369813676097693,0.0010014457035370542,20,5
nlcd_impervious_pct,0.00019574343579051857,0.0006344312898669005,20,6
nlcd_tree_canopy_pct,0.00013634070601256098,0.0003518446057630943,20,7
healthcare_car_effective_access,0.00010221198263025145,0.00032599624858522597,20,8
healthcare_median_time,3.543749447771915e-05,0.0002109973054344357,20,9
employment_modal_access_gap,3.416806234781689e-05,0.00014384909181514502,20,10
grocery_modal_access_gap,2.1606833774967528e-05,0.0003398021382087921,20,11
employment_median_time,1.678958640241035e-05,0.00016629830122249687,20,12
grocery_car_effective_access,1.5379935746295814e-05,0.0001486010503108899,20,13
grocery_median_time,1.4151484361946131e-05,0.00018490134360526383,20,14
healthcare_percentile,1.1625885952071257e-05,2.0555282159087892e-05,20,15
grocery_count_5min,1.00405515638613e-05,0.00018999670826390483,20,16
proptype_apartment_10plus,6.376653584538872e-06,3.561660916494682e-05,20,17
log_appvalue,5.681067409568641e-06,5.1611123513546414e-05,20,18
grocery_mean_time,5.132407181918097e-06,0.00010744050580695146,20,19
healthcare_count_15min,4.8926467911769574e-06,9.417458063959605e-05,20,20
healthcare_count_5min,4.494339191296604e-06,2.8114130260792426e-05,20,21
healthcare_count_10min,4.4709445603530185e-06,4.159084196115138e-05,20,22
employment_time_range,7.62939453125e-07,3.4119689598080286e-06,20,23
in_sfha,1.358985514343658e-07,3.832639185615119e-06,20,24
pct_uninsured,0.0,0.0,20,25
population,0.0,0.0,20,26
pct_unemployed,0.0,0.0,20,27
lucode_industrial,0.0,0.0,20,28
pct_crowded,0.0,0.0,20,29
pct_no_vehicle,0.0,0.0,20,30
pct_no_hs_diploma,0.0,0.0,20,31
pct_poverty,0.0,0.0,20,32
pct_mobile_homes,0.0,0.0,20,33
lucode_commercial,0.0,0.0,20,34
housing_units,0.0,0.0,20,35
employment_percentile,-3.6165116057418345e-07,1.7063533342131892e-05,20,36
grocery_drive_advantage,-4.3511390686035155e-07,1.3439409247988552e-06,20,37
healthcare_drive_advantage,-6.031990210431104e-07,2.1532706283192564e-06,20,38
employment_drive_advantage,-7.718801271039411e-07,1.9602393309309e-06,20,39
proptype_cha_housing,-8.678436188347405e-07,3.071442278170727e-06,20,40
healthcare_dispersion,-8.803605965113093e-07,4.869693206581787e-06,20,41
log_bldg_footprint_m2,-9.495020890426531e-07,2.8916850726956653e-05,20,42
lucode_other,-1.2552738951399078e-06,1.2269676811434177e-05,20,43
grocery_time_range,-1.3202428704062185e-06,3.1404896576885775e-06,20,44
proptype_commercial,-1.6766786643529485e-06,3.4159656300849655e-06,20,45
grocery_dispersion,-2.402067184448242e-06,5.571196861478204e-06,20,46
proptype_rental_40pct,-2.608746382293248e-06,9.019563567171162e-06,20,47
employment_dispersion,-2.6388466267235343e-06,6.067951496070246e-06,20,48
lucode_residential,-2.805888652801514e-06,1.1974764175802958e-05,20,49
grocery_min_time,-3.688484537178738e-06,7.481099834917997e-05,20,50
healthcare_forced_walk_burden,-4.220605143245848e-06,3.641373094513108e-05,20,51
healthcare_time_range,-5.183219832360919e-06,1.2525290694070963e-05,20,52
employment_min_time,-8.068233773883548e-06,3.8702607959035914e-05,20,53
is_residential,-8.901804829974935e-06,3.158133663623729e-05,20,54
grocery_percentile,-9.179115073720822e-06,4.61584235289304e-05,20,55
proptype_residential,-1.0530054254331844e-05,5.134914970769131e-05,20,56
log_acres,-1.2666731640820217e-05,6.055618466718167e-05,20,57
healthcare_walk_effective_access,-1.3993233267228788e-05,6.462580505879515e-05,20,58
employment_transit_dependence,-1.998454283693718e-05,0.00012380699298241766,20,59
employment_mean_time,-2.2164730859230984e-05,0.00014569576982944378,20,60
bldg_vertex_count,-2.49409673244827e-05,9.53392847680281e-05,20,61
healthcare_mean_time,-2.537772005553052e-05,9.341769956833427e-05,20,62
nlcd_land_cover,-2.656862100707258e-05,5.070261278667273e-05,20,63
healthcare_min_time,-2.997383468255066e-05,4.783633106338551e-05,20,64
healthcare_transit_dependence,-3.1920821504627385e-05,0.0002645815966371047,20,65
build_to_land_ratio,-3.909081255173419e-05,0.00013260886136598344,20,66
grocery_transit_dependence,-3.937736183132756e-05,0.0003170158306512538,20,67
employment_car_effective_access,-3.980234251912407e-05,0.00010983278594849062,20,68
employment_count_5min,-4.8512224020669235e-05,0.0012880472238207456,20,69
grocery_forced_walk_burden,-5.511626642942247e-05,0.00015962892455747201,20,70
employment_forced_walk_burden,-7.005408616009846e-05,0.0002620202652511468,20,71
employment_count_15min,-0.0003482697844788163,0.0032588802723200515,20,72
grocery_count_15min,-0.00038656517244817223,0.0010781785912922994,20,73
