fips,architecture,n_addresses,tract_svi,constraint_error,spatial_std,morans_i,bg_r,n_bgs,runtime_s,failure
47065011324,sage,18,0.0374,0.0,4e-06,0.23843,,1,13.25,
47065000700,sage,1784,0.1141,0.0,0.001403,0.951445,-0.38865724287381154,4,43.59,
47065011447,sage,853,0.165,1e-08,0.012593,0.9636,0.9785524815002153,4,39.67,
47065011325,sage,1099,0.1713,0.0,0.018223,0.94222,0.9914625564281617,3,39.82,
47065000600,sage,2089,0.2235,0.0,0.056691,0.975425,0.9944421304044389,3,44.37,
47065011413,sage,1442,0.2735,2e-08,0.032571,0.951366,0.3369993765091177,5,42.05,
47065011900,sage,348,0.2822,2e-08,0.021377,0.962834,1.0,2,37.49,
47065010431,sage,3394,0.3848,2e-08,0.02029,0.980193,-0.49488618428854103,5,51.95,
47065010433,sage,2307,0.454,1e-08,0.006303,0.907689,0.7381459082293499,4,46.81,
47065011326,sage,2738,0.5102,5e-08,0.027034,0.991243,-0.9425012741916889,3,49.61,
47065001800,sage,1411,0.5471,4e-08,0.010064,0.854269,1.0,2,42.06,
47065011402,sage,2858,0.5759,2e-08,0.013441,0.921691,0.999608465330887,4,49.81,
47065011321,sage,3756,0.6955,4e-08,0.040233,0.818273,0.7616082024089829,4,53.47,
47065011444,sage,1934,0.7088,2e-08,0.037317,0.973729,-0.9999999999999999,2,44.65,
47065010435,sage,2780,0.7153,3e-08,0.026893,0.92802,0.20926378368652457,4,48.48,
47065011311,sage,2358,0.7464,0.0,0.040878,0.975221,0.0347709849605674,6,49.73,
47065003400,sage,2559,0.8797,2e-08,0.005149,0.47286,-0.20009438241000146,3,46.14,
47065002400,sage,1918,0.8912,4e-08,0.001858,0.935241,0.5325764271066012,4,48.93,
47065001200,sage,1420,0.9066,1e-08,0.001076,0.922969,-0.8492033868014724,3,42.11,
47065001900,sage,2469,0.9804,8e-08,0.0,0.852841,-0.471605040247124,3,43.6,
47065011324,gcn_gat,18,0.0374,0.0,0.001116,0.026342,,1,10.69,
47065000700,gcn_gat,1784,0.1141,0.0,0.005487,0.629142,-0.2470209407457256,4,44.38,
47065011447,gcn_gat,853,0.165,2e-08,0.019711,0.703435,0.3780397679273019,4,40.43,
47065011325,gcn_gat,1099,0.1713,1e-08,0.021618,0.70938,0.5303162238202515,3,40.79,
47065000600,gcn_gat,2089,0.2235,1e-08,0.037475,0.688572,0.9975376395890427,3,44.4,
47065011413,gcn_gat,1442,0.2735,2e-08,0.043054,0.82717,-0.2847334176853423,5,42.78,
47065011900,gcn_gat,348,0.2822,1e-08,0.024977,0.515189,1.0,2,37.19,
47065010431,gcn_gat,3394,0.3848,3e-08,0.022847,0.825374,-0.7902154188145973,5,52.91,
47065010433,gcn_gat,2307,0.454,5e-08,0.02209,0.689337,0.5694214535796335,4,47.17,
47065011326,gcn_gat,2738,0.5102,3e-08,0.026914,0.981731,-0.9699368969685056,3,49.6,
47065001800,gcn_gat,1411,0.5471,3e-08,0.031981,0.964722,1.0,2,43.26,
47065011402,gcn_gat,2858,0.5759,7e-08,0.017915,0.674185,-0.504274174547,4,51.09,
47065011321,gcn_gat,3756,0.6955,1e-08,0.049495,0.7358,0.8807650066977551,4,53.09,
47065011444,gcn_gat,1934,0.7088,2e-08,0.037393,0.849258,-0.9999999999999999,2,45.07,
47065010435,gcn_gat,2780,0.7153,1e-08,0.043256,0.871769,0.7042696368810345,4,50.24,
47065011311,gcn_gat,2358,0.7464,1e-08,0.049429,0.891726,-0.28353269008522214,6,49.4,
47065003400,gcn_gat,2559,0.8797,2e-08,0.033243,0.148945,-0.9417857014108193,3,47.5,
47065002400,gcn_gat,1918,0.8912,4e-08,0.011291,0.709744,-0.41046804075201404,4,49.63,
47065001200,gcn_gat,1420,0.9066,3e-08,0.013046,0.78315,-0.9925853237505811,3,41.5,
47065001900,gcn_gat,2469,0.9804,4e-08,0.001212,0.660345,-0.640509143791235,3,47.82,
