feature,mean_drop,std_drop,n_tracts,rank
employment_count_10min,0.0031993188682008624,0.014846794362746779,20,1
employment_walk_effective_access,0.0018931977519969223,0.0053728854456074945,20,2
grocery_count_15min,0.0018108104176008054,0.006871658112518173,20,3
employment_count_5min,0.0010605389860302238,0.005498927611147103,20,4
nlcd_impervious_pct,0.0007262150606379691,0.00282850420628122,20,5
grocery_walk_effective_access,0.0005202352595915727,0.002964927010765663,20,6
healthcare_modal_access_gap,0.0005133768276664342,0.0022189259083798684,20,7
healthcare_transit_dependence,0.00037511135969907626,0.0010758983088425963,20,8
healthcare_median_time,0.00017071555978418474,0.000431853386718222,20,9
grocery_modal_access_gap,0.00016096513583079285,0.00098110367262288,20,10
grocery_count_5min,0.00012840699349681017,0.001002458797708616,20,11
grocery_transit_dependence,0.00012005016051830353,0.0007001073421351756,20,12
healthcare_count_15min,0.00011347025906047748,0.00036722818929027994,20,13
grocery_median_time,0.00010131429733064578,0.0003524357668608385,20,14
grocery_car_effective_access,8.174072777364927e-05,0.0005086183230492705,20,15
employment_forced_walk_burden,6.873920315229043e-05,0.0003106103080441335,20,16
employment_median_time,5.992919058144253e-05,0.0004498709116881475,20,17
grocery_min_time,5.5034307172263654e-05,0.00018258260274474334,20,18
healthcare_walk_effective_access,4.392921821363416e-05,0.00013309039597133627,20,19
nlcd_land_cover,2.373188797264447e-05,0.0001714923070831069,20,20
proptype_rental_40pct,1.846313534770161e-05,7.786252961157647e-05,20,21
grocery_percentile,1.425981467946258e-05,8.043916245929076e-05,20,22
proptype_cha_housing,8.330345463036792e-06,3.4530501965051796e-05,20,23
bldg_vertex_count,4.7601740742919675e-06,0.00032329892408771056,20,24
grocery_dispersion,4.432350328897882e-06,9.980679162748204e-06,20,25
employment_dispersion,4.100799549178191e-06,1.480027757468673e-05,20,26
employment_drive_advantage,2.3412704365455284e-06,7.0547120460151994e-06,20,27
in_sfha,1.928657235339415e-06,5.883707722513626e-06,20,28
grocery_drive_advantage,1.8191337403550278e-06,3.961096477782662e-06,20,29
grocery_time_range,1.5687943232478575e-06,9.580235975418953e-06,20,30
healthcare_dispersion,1.5401840926188016e-06,9.939920968022496e-06,20,31
lucode_industrial,5.79357117658219e-07,3.3645094482584947e-06,20,32
healthcare_drive_advantage,2.2888182797942137e-07,9.644799481182906e-07,20,33
lucode_commercial,1.2159347306806012e-07,5.437825428009447e-07,20,34
pct_unemployed,0.0,0.0,20,35
pct_uninsured,0.0,0.0,20,36
pct_poverty,0.0,0.0,20,37
pct_no_vehicle,0.0,0.0,20,38
pct_no_hs_diploma,0.0,0.0,20,39
pct_crowded,0.0,0.0,20,40
pct_mobile_homes,0.0,0.0,20,41
housing_units,0.0,0.0,20,42
population,0.0,0.0,20,43
employment_time_range,-9.536762490824913e-09,2.751147988598122e-06,20,44
proptype_commercial,-3.351272198415245e-07,2.203781998566659e-05,20,45
employment_percentile,-4.441738076366164e-06,4.5921533314433444e-05,20,46
healthcare_time_range,-4.609972211255808e-06,3.169183682733852e-05,20,47
proptype_residential,-6.241202754608821e-06,9.072115368547137e-05,20,48
employment_min_time,-1.0007619880525454e-05,0.0001293827081645683,20,49
is_residential,-1.1025369383332873e-05,2.9144304278769896e-05,20,50
lucode_other,-1.1053085938783624e-05,7.518854658366392e-05,20,51
healthcare_mean_time,-1.4031531475211522e-05,0.00028966012382842116,20,52
proptype_apartment_10plus,-1.5291422619156948e-05,6.95737221382319e-05,20,53
employment_car_effective_access,-1.5678702789045927e-05,0.00029737677374279257,20,54
log_acres,-1.7647743175075447e-05,8.928687805534996e-05,20,55
lucode_residential,-1.800298664420552e-05,5.6818497968266296e-05,20,56
healthcare_count_5min,-2.4410486025772117e-05,6.688862688677471e-05,20,57
log_appvalue,-2.4677813030393736e-05,9.06163147678077e-05,20,58
log_bldg_footprint_m2,-2.588942586498888e-05,7.517554102504857e-05,20,59
healthcare_percentile,-2.728238766849245e-05,0.00014946663964578353,20,60
build_to_land_ratio,-3.4598703859956006e-05,0.00037441539321769464,20,61
employment_transit_dependence,-3.9508342206318046e-05,0.0003198905491746786,20,62
employment_mean_time,-4.343136816942206e-05,0.00030252909794641064,20,63
grocery_forced_walk_burden,-4.8515795269921116e-05,0.00021923358431251959,20,64
healthcare_forced_walk_burden,-5.9139727835599845e-05,0.00016607436380512345,20,65
employment_modal_access_gap,-7.361125340139551e-05,0.00035651777518416256,20,66
grocery_mean_time,-8.212972390992945e-05,0.0003396354228586343,20,67
healthcare_count_10min,-0.00010558117102164034,0.00024518807815437313,20,68
healthcare_min_time,-0.00010908621755447711,0.0005861735542715662,20,69
employment_count_15min,-0.00014511546614812688,0.012998583948429806,20,70
grocery_count_10min,-0.00030565562374249564,0.0017348921009987409,20,71
nlcd_tree_canopy_pct,-0.0003699855848367406,0.0012124142692445836,20,72
healthcare_car_effective_access,-0.00047031849244376643,0.00123364285828055,20,73
