feature,mean_drop,std_drop,n_tracts,rank
employment_walk_effective_access,0.0021071480061436885,0.0068270121927049765,20,1
employment_count_15min,0.0018573387460492086,0.008060821559781467,20,2
grocery_count_15min,0.0011203856949443037,0.005762956136977809,20,3
healthcare_modal_access_gap,0.0010065445461236778,0.00454847574150688,20,4
grocery_transit_dependence,0.0005997805093102216,0.0028252238025078848,20,5
grocery_walk_effective_access,0.0005859049819605389,0.003973237931595334,20,6
nlcd_tree_canopy_pct,0.000512722283065159,0.002310175635418812,20,7
grocery_count_10min,0.0005067424067533466,0.0037835339162362314,20,8
healthcare_transit_dependence,0.00040578023601938183,0.0013432770349625408,20,9
grocery_car_effective_access,0.0003012838856363942,0.0013596249549527623,20,10
healthcare_walk_effective_access,0.00011181861402320692,0.0004680544958839679,20,11
grocery_median_time,7.881477712317065e-05,0.00045404145736863615,20,12
employment_median_time,6.550342046693914e-05,0.00041839261840184705,20,13
nlcd_land_cover,5.175322183106346e-05,0.00021818388769454677,20,14
grocery_count_5min,3.622293386911224e-05,0.0002939113145416354,20,15
employment_modal_access_gap,3.084465639346945e-05,0.00022600567627075783,20,16
log_appvalue,1.6614795140412752e-05,8.345570024154597e-05,20,17
employment_transit_dependence,1.643657721501768e-05,7.076518352846389e-05,20,18
healthcare_count_15min,1.600965833858936e-05,0.00015547268420614574,20,19
log_acres,1.0329931916430723e-05,2.5081061523241968e-05,20,20
bldg_vertex_count,9.798705949037868e-06,8.091324089363653e-05,20,21
healthcare_count_5min,9.347945126592095e-06,4.0095222858326053e-05,20,22
healthcare_count_10min,5.09947513478437e-06,5.497765651471204e-05,20,23
grocery_min_time,4.960298610967584e-06,5.934854590509824e-05,20,24
log_bldg_footprint_m2,4.245042617867512e-06,3.8962962541088105e-05,20,25
lucode_other,3.4785269917847472e-06,1.7880107952003458e-05,20,26
healthcare_forced_walk_burden,2.052188105494679e-06,3.027567269929673e-05,20,27
proptype_commercial,2.0170211996628497e-06,4.8252800984498344e-06,20,28
proptype_apartment_10plus,1.6018749079194094e-06,1.4063146939575852e-05,20,29
proptype_rental_40pct,1.578927032142019e-06,6.14036636399888e-06,20,30
lucode_residential,1.0049343046603099e-06,1.1964423131302704e-05,20,31
employment_dispersion,9.584426777564658e-07,8.086246331786945e-06,20,32
employment_percentile,9.055436464677769e-07,1.9963533472530374e-05,20,33
lucode_commercial,4.6730041276532573e-07,2.497806623394889e-06,20,34
in_sfha,4.550814850290408e-07,4.387431764129633e-06,20,35
grocery_drive_advantage,4.005432231224404e-07,1.4721027996738746e-06,20,36
healthcare_drive_advantage,2.3111701068501135e-07,1.2032356853051389e-06,20,37
lucode_industrial,1.38282769057696e-07,1.0635319618276976e-06,20,38
grocery_time_range,1.3351439633879636e-07,3.171202110926523e-06,20,39
healthcare_dispersion,1.1369585308784736e-07,4.058858442875562e-06,20,40
population,0.0,0.0,20,41
pct_uninsured,0.0,0.0,20,42
pct_no_vehicle,0.0,0.0,20,43
pct_crowded,0.0,0.0,20,44
pct_unemployed,0.0,0.0,20,45
housing_units,0.0,0.0,20,46
pct_mobile_homes,0.0,0.0,20,47
pct_no_hs_diploma,0.0,0.0,20,48
pct_poverty,0.0,0.0,20,49
employment_time_range,-8.1062319168268e-08,3.625217121480629e-07,20,50
employment_drive_advantage,-1.0013580720169557e-07,1.6004376127358144e-06,20,51
grocery_dispersion,-1.0490414297237294e-07,4.919361938766313e-06,20,52
proptype_cha_housing,-1.573562656176364e-07,4.845793865177432e-07,20,53
healthcare_time_range,-6.413459715304271e-07,1.3044102917521684e-05,20,54
employment_car_effective_access,-1.8945342844745029e-06,9.408187702823958e-05,20,55
healthcare_mean_time,-3.3740701667284157e-06,0.00010713934054515763,20,56
grocery_forced_walk_burden,-3.817974587150275e-06,8.209521819738009e-05,20,57
employment_mean_time,-3.983080716807308e-06,0.00014944630928581166,20,58
proptype_residential,-4.099011187008728e-06,3.498611971276612e-05,20,59
grocery_percentile,-4.874021260548034e-06,4.9253822302506e-05,20,60
employment_min_time,-6.162374731388809e-06,4.194499444371253e-05,20,61
is_residential,-8.433312245870184e-06,2.3817542421952534e-05,20,62
grocery_mean_time,-9.279698056730013e-06,0.00011007413737409543,20,63
healthcare_median_time,-1.6553102460648007e-05,0.0001451273360590945,20,64
build_to_land_ratio,-1.7800182084781734e-05,5.633096048430348e-05,20,65
healthcare_percentile,-2.6417226246167046e-05,0.00017129532438545355,20,66
employment_forced_walk_burden,-3.6640168309531874e-05,0.00014937788058832873,20,67
healthcare_min_time,-9.103029772177252e-05,0.0003381196025631033,20,68
nlcd_impervious_pct,-0.00013756707394350088,0.00034545961159764834,20,69
employment_count_5min,-0.00034264937403349904,0.001359529426768627,20,70
healthcare_car_effective_access,-0.00037782459319259944,0.001795541212267033,20,71
grocery_modal_access_gap,-0.0013199208298374288,0.005811705984147639,20,72
employment_count_10min,-0.0019284560932646855,0.010134221422046626,20,73
