fips,architecture,n_addresses,tract_svi,constraint_error,spatial_std,morans_i,bg_r,n_bgs,runtime_s,failure
47065011324,sage,18,0.0374,0.0,0.000235,0.248994,,1,12.77,
47065000700,sage,1784,0.1141,1e-08,0.000726,0.823291,-0.9402312744229187,4,44.65,
47065011447,sage,853,0.165,2e-08,0.003641,0.873547,0.43761256392651593,4,40.66,
47065011325,sage,1099,0.1713,1e-08,0.004742,0.896342,0.17891540103675582,3,39.7,
47065000600,sage,2089,0.2235,1e-08,0.006407,0.911733,0.9145004245557237,3,45.78,
47065011413,sage,1442,0.2735,2e-08,0.018598,0.89588,0.3367638927060343,5,42.16,
47065011900,sage,348,0.2822,4e-08,0.012917,0.825286,-1.0,2,36.28,
47065010431,sage,3394,0.3848,6e-08,0.021818,0.948537,-0.24444147693411294,5,52.67,
47065010433,sage,2307,0.454,3e-08,0.020866,0.832876,-0.0843499123274883,4,47.3,
47065011326,sage,2738,0.5102,4e-08,0.076317,0.986721,-0.9455136580089001,3,47.54,
47065001800,sage,1411,0.5471,1e-08,0.060069,0.963201,-1.0,2,42.69,
47065011402,sage,2858,0.5759,7e-08,0.040642,0.920614,0.8112748988631505,4,48.82,
47065011321,sage,3756,0.6955,2e-08,0.021093,0.702158,0.9565924879293973,4,53.03,
47065011444,sage,1934,0.7088,1e-08,0.010992,0.894083,0.9999999999999999,2,45.29,
47065010435,sage,2780,0.7153,1e-08,0.00588,0.883159,-0.0703526741873134,4,48.46,
47065011311,sage,2358,0.7464,2e-08,0.004796,0.885109,0.3803201655821556,6,50.82,
47065003400,sage,2559,0.8797,7e-08,0.01211,0.727176,0.6719769600404186,3,46.86,
47065002400,sage,1918,0.8912,7e-08,0.005302,0.929951,0.3811955904556035,4,49.22,
47065001200,sage,1420,0.9066,2e-08,0.002294,0.905585,-0.22293295058376164,3,42.37,
47065001900,sage,2469,0.9804,4e-08,0.000113,0.910907,0.08104752934393802,3,47.57,
47065011324,gcn_gat,18,0.0374,1e-08,0.000459,0.642675,,1,12.06,
47065000700,gcn_gat,1784,0.1141,0.0,0.001652,0.961571,-0.6678940572989693,4,44.38,
47065011447,gcn_gat,853,0.165,2e-08,0.009128,0.977252,0.3878433763911049,4,40.77,
47065011325,gcn_gat,1099,0.1713,0.0,0.007228,0.945292,0.7165130321154797,3,41.2,
47065000600,gcn_gat,2089,0.2235,0.0,0.008951,0.95356,0.619235135080304,3,44.99,
47065011413,gcn_gat,1442,0.2735,0.0,0.018111,0.973186,0.20808187131391617,5,42.95,
47065011900,gcn_gat,348,0.2822,2e-08,0.018087,0.957288,1.0,2,36.48,
47065010431,gcn_gat,3394,0.3848,4e-08,0.0254,0.981533,-0.2202264171953597,5,53.97,
47065010433,gcn_gat,2307,0.454,2e-08,0.018365,0.911238,-0.40586967234066035,4,46.22,
47065011326,gcn_gat,2738,0.5102,2e-08,0.038154,0.989343,0.9009311874823019,3,49.54,
47065001800,gcn_gat,1411,0.5471,3e-08,0.007593,0.954515,-1.0,2,41.7,
47065011402,gcn_gat,2858,0.5759,5e-08,0.083127,1.001844,0.20008659703160786,4,49.7,
47065011321,gcn_gat,3756,0.6955,7e-08,0.035322,0.985962,0.14453965819379455,4,54.18,
47065011444,gcn_gat,1934,0.7088,2e-08,0.045232,0.983939,1.0,2,45.62,
47065010435,gcn_gat,2780,0.7153,5e-08,0.041897,0.960106,0.46444618593525294,4,50.3,
47065011311,gcn_gat,2358,0.7464,4e-08,0.022041,0.989683,0.5261157812097017,6,49.12,
47065003400,gcn_gat,2559,0.8797,1e-08,0.025233,0.992619,-0.9333648342281247,3,47.14,
47065002400,gcn_gat,1918,0.8912,5e-08,0.018261,0.994372,-0.4038447693947288,4,48.56,
47065001200,gcn_gat,1420,0.9066,3e-08,0.005238,0.934996,0.9976716589920293,3,42.74,
47065001900,gcn_gat,2469,0.9804,2e-08,0.000553,0.973139,-0.7346637110322305,3,47.9,
