fips,architecture,n_addresses,tract_svi,constraint_error,spatial_std,morans_i,bg_r,n_bgs,tract_mean_pred,between_tract_variance,runtime_s,failure
47065011324,sage,18,0.0374,0.0,0.038212,0.553374,,1,0.0374,0.08302970833713116,11.79,
47065000700,sage,1784,0.1141,0.0,0.042693,0.764971,-0.3227816523309435,4,0.1141,0.08302970833713116,38.67,
47065011447,sage,853,0.165,0.0,0.050907,0.947413,0.630866155027661,4,0.165,0.08302970833713116,35.64,
47065011325,sage,1099,0.1713,0.0,0.069547,0.890661,0.8728956692812752,3,0.1713,0.08302970833713116,36.86,
47065000600,sage,2089,0.2235,0.0,0.074979,0.941128,0.8510894977474064,3,0.2235,0.08302970833713116,41.39,
47065011413,sage,1442,0.2735,1e-08,0.111679,0.936775,-0.46284902763467983,5,0.2735,0.08302970833713116,36.68,
47065011900,sage,348,0.2822,3e-08,0.083209,0.842792,1.0,2,0.2822,0.08302970833713116,30.36,
47065010431,sage,3394,0.3848,3e-08,0.152742,0.980187,0.08009434730991756,5,0.3848,0.08302970833713116,44.11,
47065010433,sage,2307,0.454,3e-08,0.171328,0.808282,-0.9136361931017183,4,0.454,0.08302970833713116,40.69,
47065011326,sage,2738,0.5102,1e-08,0.067893,0.911597,0.8238020738913949,3,0.5102,0.08302970833713116,45.21,
47065001800,sage,1411,0.5471,1e-08,0.058787,0.785404,1.0,2,0.5471,0.08302970833713116,38.61,
47065011402,sage,2858,0.5759,2e-08,0.12382,0.95994,0.8371236109209292,4,0.5759,0.08302970833713116,46.31,
47065011321,sage,3756,0.6955,4e-08,0.114201,1.001232,-0.7807138543551121,4,0.6955,0.08302970833713116,49.26,
47065011444,sage,1934,0.7088,1e-08,0.126204,0.976002,1.0,2,0.7088,0.08302970833713116,38.51,
47065010435,sage,2780,0.7153,5e-08,0.146874,0.96105,-0.5876532464585373,4,0.7153,0.08302970833713116,41.98,
47065011311,sage,2358,0.7464,1e-08,0.112079,0.979132,-0.08296872095849021,6,0.7464,0.08302970833713116,44.18,
47065003400,sage,2559,0.8797,7e-08,0.033337,0.903179,0.8569550022006193,3,0.8797,0.08302970833713116,42.06,
47065002400,sage,1918,0.8912,5e-08,0.036654,0.920138,0.42790822792738503,4,0.8912,0.08302970833713116,47.16,
47065001200,sage,1420,0.9066,3e-08,0.018127,0.778394,-0.9973068803488684,3,0.9066,0.08302970833713116,39.2,
47065001900,sage,2469,0.9804,1e-08,0.013144,0.710139,-0.9996801574250184,3,0.9804,0.08302970833713116,45.77,
47065011324,gcn_gat,18,0.0374,0.0,0.042341,0.119114,,1,0.0374,0.08302970535710871,9.36,
47065000700,gcn_gat,1784,0.1141,1e-08,0.049345,0.760327,-0.7718782456645266,4,0.1141,0.08302970535710871,39.69,
47065011447,gcn_gat,853,0.165,1e-08,0.057117,0.872262,0.32197908150894133,4,0.165,0.08302970535710871,34.8,
47065011325,gcn_gat,1099,0.1713,1e-08,0.065761,0.815156,0.7636764941438463,3,0.1713,0.08302970535710871,34.97,
47065000600,gcn_gat,2089,0.2235,1e-08,0.070376,0.846851,0.03528763290149551,3,0.2235,0.08302970535710871,39.37,
47065011413,gcn_gat,1442,0.2735,2e-08,0.102759,0.941879,0.3269899845760146,5,0.2735,0.08302970535710871,36.23,
47065011900,gcn_gat,348,0.2822,1e-08,0.098234,0.932556,-1.0,2,0.2822,0.08302970535710871,31.12,
47065010431,gcn_gat,3394,0.3848,0.0,0.101259,0.953768,0.3683584726725323,5,0.3848,0.08302970535710871,47.04,
47065010433,gcn_gat,2307,0.454,1e-08,0.165489,0.912614,0.31031862431311685,4,0.454,0.08302970535710871,42.43,
47065011326,gcn_gat,2738,0.5102,4e-08,0.108741,0.960556,-0.3014335148026226,3,0.5102,0.08302970535710871,46.1,
47065001800,gcn_gat,1411,0.5471,2e-08,0.081891,0.91939,-1.0,2,0.5471,0.08302970535710871,37.66,
47065011402,gcn_gat,2858,0.5759,6e-08,0.071693,0.96951,0.8515155360325544,4,0.5759,0.08302970535710871,44.33,
47065011321,gcn_gat,3756,0.6955,2e-08,0.118531,0.884202,0.7850276005903392,4,0.6955,0.08302970535710871,46.32,
47065011444,gcn_gat,1934,0.7088,5e-08,0.106849,0.95943,1.0,2,0.7088,0.08302970535710871,41.27,
47065010435,gcn_gat,2780,0.7153,1e-08,0.125189,0.959282,-0.0037504932233529903,4,0.7153,0.08302970535710871,45.73,
47065011311,gcn_gat,2358,0.7464,5e-08,0.100777,0.955318,-0.2661163055172798,6,0.7464,0.08302970535710871,45.06,
47065003400,gcn_gat,2559,0.8797,3e-08,0.044694,0.857723,0.8621407055575471,3,0.8797,0.08302970535710871,41.36,
47065002400,gcn_gat,1918,0.8912,1e-08,0.043908,0.828436,-0.576468842679527,4,0.8912,0.08302970535710871,45.12,
47065001200,gcn_gat,1420,0.9066,1e-08,0.049595,0.880577,0.2813409042695466,3,0.9066,0.08302970535710871,35.62,
47065001900,gcn_gat,2469,0.9804,2e-08,0.023949,0.651952,-0.9672255635742093,3,0.9804,0.08302970535710871,46.18,
