feature,mean_drop,std_drop,n_tracts,rank
employment_count_10min,0.005301270069321617,0.034162360113342956,20,1
grocery_modal_access_gap,0.000373093003872782,0.0030844161449689435,20,2
grocery_walk_effective_access,0.00036942637598258443,0.010238858217422254,20,3
grocery_mean_time,0.00024201839960369398,0.0010513807497105547,20,4
employment_mean_time,0.00017643302089709323,0.0012581267617062,20,5
healthcare_car_effective_access,0.0001630146771276486,0.001755757263932647,20,6
grocery_median_time,0.00015271753172783065,0.0010866023890134847,20,7
grocery_min_time,0.00013794526194033097,0.0007202555340308728,20,8
log_bldg_footprint_m2,0.0001287882037104282,0.000573844655067603,20,9
healthcare_mean_time,0.00011367142114977468,0.0013354139012649506,20,10
log_appvalue,0.00011180475323726568,0.0005018963691259764,20,11
nlcd_land_cover,0.00011097431324742501,0.0005358190831571391,20,12
healthcare_walk_effective_access,9.372994147724967e-05,0.0004606245493904,20,13
healthcare_forced_walk_burden,8.833080210024491e-05,0.00029920399543634176,20,14
healthcare_min_time,8.131250942824408e-05,0.002007052100469249,20,15
grocery_percentile,7.720247294855654e-05,0.0005734079932614819,20,16
proptype_residential,6.953194745165092e-05,0.0001928810771422165,20,17
healthcare_count_5min,6.254941414454151e-05,0.00028785054983728863,20,18
employment_median_time,5.38662112376187e-05,0.001944396760799531,20,19
healthcare_percentile,4.503816558099061e-05,0.0003143835262813284,20,20
lucode_other,3.3815204915299546e-05,0.00010296441274571643,20,21
lucode_residential,3.132596501700391e-05,0.00011788557130601857,20,22
proptype_cha_housing,1.9050835885536798e-05,7.272817980621043e-05,20,23
employment_dispersion,7.220953710884714e-06,2.5099772271024285e-05,20,24
in_sfha,2.506524342038574e-06,9.135471760431633e-06,20,25
employment_time_range,1.8149614788853796e-06,6.736735594746072e-06,20,26
grocery_drive_advantage,1.6009807495720451e-06,7.0448821789837665e-06,20,27
employment_percentile,1.2224912097735797e-06,0.00033280006054861084,20,28
employment_drive_advantage,8.887052615591529e-07,6.97429894531832e-06,20,29
lucode_industrial,2.7656553349686417e-07,6.715961614340041e-06,20,30
lucode_commercial,1.6689300537109374e-07,1.85179751505137e-06,20,31
healthcare_drive_advantage,1.1384486242604908e-07,7.1104008788383565e-06,20,32
pct_poverty,0.0,0.0,20,33
population,0.0,0.0,20,34
pct_uninsured,0.0,0.0,20,35
pct_unemployed,0.0,0.0,20,36
pct_mobile_homes,0.0,0.0,20,37
pct_no_hs_diploma,0.0,0.0,20,38
pct_no_vehicle,0.0,0.0,20,39
pct_crowded,0.0,0.0,20,40
housing_units,0.0,0.0,20,41
healthcare_dispersion,-1.4960751570924913e-07,2.37105926767401e-05,20,42
grocery_dispersion,-7.231980669075711e-06,3.277068233443714e-05,20,43
grocery_time_range,-8.763074873741061e-06,2.6244454669938013e-05,20,44
proptype_commercial,-1.0125338553734764e-05,6.868690795203238e-05,20,45
proptype_rental_40pct,-2.123668716649263e-05,6.525707285703317e-05,20,46
proptype_apartment_10plus,-2.3025274413157603e-05,0.000108449202855422,20,47
healthcare_time_range,-2.6432871345605234e-05,0.00012552566411023797,20,48
grocery_forced_walk_burden,-4.4732845981343414e-05,0.000987590106536934,20,49
grocery_car_effective_access,-6.098536432546098e-05,0.0021711675700776044,20,50
employment_min_time,-6.905987547725089e-05,0.00026143249690271724,20,51
is_residential,-7.039606695116162e-05,0.0003921663359191794,20,52
bldg_vertex_count,-9.970351511583431e-05,0.0009067366462397006,20,53
healthcare_count_15min,-0.0001254889342817478,0.0008672805770612363,20,54
employment_car_effective_access,-0.00012615516543519335,0.001359925797951087,20,55
employment_modal_access_gap,-0.00013497769546120253,0.0022646458085487427,20,56
log_acres,-0.00013818666434417537,0.0005753123900975373,20,57
healthcare_count_10min,-0.00017552227631085772,0.001359406959911603,20,58
grocery_count_10min,-0.0002675659885426285,0.00688618798067491,20,59
employment_transit_dependence,-0.0003030176430911524,0.001083078503880265,20,60
grocery_count_5min,-0.0003549621740148723,0.004079817130725672,20,61
build_to_land_ratio,-0.00037911906683802955,0.0009074962567900861,20,62
employment_forced_walk_burden,-0.0004609976740539423,0.00220100532185173,20,63
grocery_transit_dependence,-0.0005183759396004461,0.002781039794468664,20,64
healthcare_median_time,-0.000594728889700491,0.0013812579686730254,20,65
nlcd_impervious_pct,-0.0007507504551540478,0.010537549884932215,20,66
nlcd_tree_canopy_pct,-0.0008150930627380149,0.00558796438011096,20,67
grocery_count_15min,-0.001201614939782303,0.008751002239460626,20,68
healthcare_modal_access_gap,-0.0017128479172242804,0.008596087258536821,20,69
healthcare_transit_dependence,-0.001878973967541242,0.005607422634466394,20,70
employment_count_15min,-0.0035625079181045294,0.05094715088087756,20,71
employment_count_5min,-0.003955056614358909,0.017907359502479184,20,72
employment_walk_effective_access,-0.00674073132686317,0.07791203548286536,20,73
