feature,mean_drop,std_drop,n_tracts,rank
nlcd_tree_canopy_pct,0.006762535290181404,0.04754680333530123,20,1
grocery_modal_access_gap,0.002982420903936145,0.008251057132117427,20,2
grocery_count_5min,0.002282366787812862,0.007339442729355615,20,3
employment_count_5min,0.0017025245702825486,0.028873200161854407,20,4
employment_count_10min,0.001439534590463154,0.03961055178320039,20,5
bldg_vertex_count,0.0011616146876804122,0.007362138070918738,20,6
healthcare_car_effective_access,0.0008526707102646469,0.005710656592352589,20,7
healthcare_median_time,0.0006634581147409336,0.0018214585824977824,20,8
lucode_residential,0.0006498599157225727,0.00275156630601862,20,9
healthcare_count_15min,0.0006257879631448304,0.0014554459904674512,20,10
employment_car_effective_access,0.0006197440578034729,0.002992579162842266,20,11
employment_mean_time,0.0005855440973022042,0.0028192585236531237,20,12
healthcare_count_10min,0.0005460286068824871,0.0021251008498144636,20,13
grocery_mean_time,0.00047266365336326996,0.0019516236662420713,20,14
log_acres,0.0002223873118936126,0.0006883952522074828,20,15
log_appvalue,0.0001962113425406642,0.000609034137873445,20,16
log_bldg_footprint_m2,0.00011847257629256091,0.000292512740926498,20,17
lucode_other,0.00010869979868175506,0.000492376718297787,20,18
proptype_residential,8.87966140169283e-05,0.00038806865378498187,20,19
healthcare_time_range,4.509687643121652e-05,0.00023503955769525945,20,20
is_residential,3.484248989025218e-05,0.0001139084226864454,20,21
employment_forced_walk_burden,2.814889209048488e-05,0.0010236601131497053,20,22
proptype_commercial,1.2490749185189998e-05,5.7740302107031475e-05,20,23
proptype_apartment_10plus,9.43660586472106e-06,0.00014934423775385942,20,24
healthcare_dispersion,7.351636861585576e-06,4.266020759913097e-05,20,25
proptype_cha_housing,4.100799469597405e-06,1.63233360962644e-05,20,26
grocery_drive_advantage,1.261234353933105e-06,1.013623905074483e-05,20,27
employment_drive_advantage,1.1181831666817744e-06,8.18765977274395e-06,20,28
grocery_time_range,8.487700597470394e-07,1.7514210800993725e-05,20,29
housing_units,0.0,0.0,20,30
pct_crowded,0.0,0.0,20,31
pct_no_hs_diploma,0.0,0.0,20,32
pct_mobile_homes,0.0,0.0,20,33
pct_no_vehicle,0.0,0.0,20,34
pct_poverty,0.0,0.0,20,35
pct_uninsured,0.0,0.0,20,36
pct_unemployed,0.0,0.0,20,37
population,0.0,0.0,20,38
lucode_commercial,-4.053116526847589e-08,2.78201842939738e-06,20,39
lucode_industrial,-5.722045614220405e-07,4.07721087458675e-06,20,40
employment_time_range,-1.115798954742786e-06,4.288365495907873e-06,20,41
grocery_dispersion,-3.04937368582614e-06,5.0482633019938614e-05,20,42
employment_dispersion,-4.096031335620864e-06,4.2397271226073455e-05,20,43
healthcare_drive_advantage,-4.749298136630387e-06,2.218978729455752e-05,20,44
healthcare_percentile,-1.2191539337891299e-05,0.0006305677217394529,20,45
employment_percentile,-1.3198854344409482e-05,0.0007291348164235983,20,46
proptype_rental_40pct,-2.219676858175035e-05,0.00011579774029070762,20,47
in_sfha,-4.1790007298914136e-05,0.00018323649356636893,20,48
build_to_land_ratio,-0.00011800528607182059,0.001068906984717647,20,49
grocery_percentile,-0.00015282631991340168,0.0009149835123323349,20,50
healthcare_forced_walk_burden,-0.00016548395335576062,0.002000946594607028,20,51
healthcare_count_5min,-0.00016682386188904275,0.0007582719016992727,20,52
grocery_min_time,-0.00024041532557248502,0.0015439805677702088,20,53
healthcare_min_time,-0.0002621328808572798,0.0014377300559186722,20,54
employment_transit_dependence,-0.0002916204878829376,0.001087429879122434,20,55
grocery_median_time,-0.00029927850082458465,0.0014287289709581116,20,56
grocery_forced_walk_burden,-0.0003395807721062738,0.0020860199644720957,20,57
nlcd_land_cover,-0.0003609561902976566,0.001599205324775695,20,58
employment_modal_access_gap,-0.0006139874434325065,0.002887406802021378,20,59
employment_min_time,-0.0007185435209976276,0.0035666523075747747,20,60
healthcare_mean_time,-0.00083114266199118,0.0027072168522190077,20,61
grocery_car_effective_access,-0.0012441718312402373,0.005372973557651392,20,62
healthcare_walk_effective_access,-0.0013090420123376134,0.00549752095838701,20,63
employment_median_time,-0.002594033505374682,0.013397676965534337,20,64
grocery_transit_dependence,-0.00267471680053859,0.008630733109907954,20,65
healthcare_transit_dependence,-0.0038125204788229893,0.01541649344269877,20,66
grocery_count_15min,-0.004140703572193161,0.027972017609092074,20,67
grocery_walk_effective_access,-0.0042024195408885134,0.007938764272568139,20,68
healthcare_modal_access_gap,-0.004871877419191151,0.015266837655704057,20,69
grocery_count_10min,-0.005258294224040583,0.012758486840287887,20,70
employment_walk_effective_access,-0.011890036889235489,0.06251397381010623,20,71
nlcd_impervious_pct,-0.025904267012083437,0.09027336295743349,20,72
employment_count_15min,-0.04844898836272478,0.1991424734133831,20,73
