feature,mean_drop,std_drop,n_tracts,rank
employment_walk_effective_access,0.010949351859744638,0.0460837684299752,20,1
grocery_count_15min,0.002691140076785814,0.015042780130902775,20,2
nlcd_tree_canopy_pct,0.001983797540742671,0.006102493157065014,20,3
grocery_modal_access_gap,0.0006165742900520854,0.0022456467878262474,20,4
grocery_median_time,0.00060627462253251,0.0025250915259406965,20,5
employment_car_effective_access,0.0005178928473469569,0.004043766027588652,20,6
healthcare_count_15min,0.0003678250264442795,0.0009334417033144782,20,7
employment_median_time,0.00036653756360465194,0.0015730575695416659,20,8
healthcare_mean_time,0.0003452443981586839,0.0012359114891002793,20,9
bldg_vertex_count,0.00031583548543494543,0.0014260064430823827,20,10
nlcd_land_cover,0.00030052424331188375,0.0014352822861922387,20,11
employment_modal_access_gap,0.00025303364349156255,0.002283536817480469,20,12
grocery_walk_effective_access,0.00020675418345490472,0.005391260447247141,20,13
employment_forced_walk_burden,0.00017838476996985265,0.002851595539884797,20,14
log_bldg_footprint_m2,0.00016068458212430413,0.0008190796097520886,20,15
healthcare_modal_access_gap,8.19969325675629e-05,0.006405911447335625,20,16
healthcare_percentile,7.938623239169828e-05,0.00044901133459555555,20,17
healthcare_median_time,7.070303736327333e-05,0.001699421928369048,20,18
grocery_percentile,5.7339666113875865e-05,0.0002861160797740016,20,19
healthcare_time_range,5.69391248006923e-05,0.00013512338331945475,20,20
healthcare_walk_effective_access,3.782034073083196e-05,0.00038008962709900013,20,21
lucode_other,2.071618945933551e-05,0.00014140826840668423,20,22
healthcare_forced_walk_burden,1.8978117037704578e-05,0.0005114001825138217,20,23
lucode_residential,1.8270016005317304e-05,0.00015000056199493026,20,24
proptype_apartment_10plus,1.5504360209206425e-05,3.1903856045866445e-05,20,25
is_residential,1.3380051404965343e-05,9.959158750129378e-05,20,26
healthcare_count_5min,1.2719629012281075e-05,0.00029973746545441417,20,27
employment_percentile,1.1713504341059888e-05,0.00017739004458907316,20,28
proptype_commercial,1.073360430154935e-05,6.750833774105435e-05,20,29
grocery_dispersion,1.0151863347118705e-05,6.247833470094547e-05,20,30
grocery_transit_dependence,8.931159391067922e-06,0.0017541422693086843,20,31
healthcare_drive_advantage,7.390975997623172e-06,2.736153205772466e-05,20,32
proptype_residential,7.379054352441017e-06,0.0002521631413928102,20,33
proptype_rental_40pct,3.1661983712183426e-06,3.2491078943288604e-05,20,34
employment_time_range,2.675056441603374e-06,1.389551089449006e-05,20,35
proptype_cha_housing,2.489090184099041e-06,2.3994916018276867e-05,20,36
grocery_drive_advantage,1.3256073202683184e-06,1.0345586421696357e-05,20,37
lucode_industrial,1.0490417707842426e-07,4.6914574214206384e-07,20,38
pct_poverty,0.0,0.0,20,39
pct_unemployed,0.0,0.0,20,40
pct_mobile_homes,0.0,0.0,20,41
pct_uninsured,0.0,0.0,20,42
population,0.0,0.0,20,43
lucode_commercial,0.0,0.0,20,44
pct_crowded,0.0,0.0,20,45
housing_units,0.0,0.0,20,46
pct_no_vehicle,0.0,0.0,20,47
pct_no_hs_diploma,0.0,0.0,20,48
employment_drive_advantage,-9.91821298157447e-07,7.314089491539082e-06,20,49
employment_dispersion,-2.7465817140637228e-06,5.880599008203267e-05,20,50
healthcare_dispersion,-7.1382523742613556e-06,2.544344771571002e-05,20,51
healthcare_count_10min,-1.4128685450032208e-05,0.00029153588046205547,20,52
in_sfha,-1.4214515647381632e-05,5.545540275814949e-05,20,53
grocery_time_range,-1.8274783838023722e-05,7.030847265376762e-05,20,54
grocery_min_time,-4.7969822117011066e-05,0.0008842531866868351,20,55
grocery_count_5min,-8.696078839420807e-05,0.001665111493686678,20,56
grocery_mean_time,-0.00010479212451173226,0.0014202312739230926,20,57
log_appvalue,-0.00011554479058304424,0.000593462778407722,20,58
log_acres,-0.00013121843350631933,0.0004274910718233603,20,59
grocery_car_effective_access,-0.00014192340677254833,0.0022741430224316427,20,60
healthcare_min_time,-0.00015102862867024668,0.0015940737726194492,20,61
healthcare_car_effective_access,-0.0002823639108100906,0.0034836405672641606,20,62
employment_min_time,-0.0002986526519180188,0.0008855933677763654,20,63
grocery_count_10min,-0.000337436274276115,0.00885894795709606,20,64
grocery_forced_walk_burden,-0.0003903508183839222,0.0013966736066884351,20,65
employment_transit_dependence,-0.0004155707509198692,0.002438137949216911,20,66
healthcare_transit_dependence,-0.0005068564465000591,0.0028402494607462445,20,67
build_to_land_ratio,-0.0005397796629495133,0.001376722267566862,20,68
employment_mean_time,-0.0006232285310602492,0.0015840560255640454,20,69
nlcd_impervious_pct,-0.0009874034294625744,0.007520895554084838,20,70
employment_count_5min,-0.001346483119414188,0.030039291456196528,20,71
employment_count_10min,-0.01710514281585347,0.05166756367283497,20,72
employment_count_15min,-0.019849372300086543,0.07874875216063504,20,73
