feature,mean_drop,std_drop,n_tracts,rank
employment_walk_effective_access,0.018344368640100583,0.1251181292619575,20,1
employment_count_10min,0.0121158171154093,0.08711693239096638,20,2
employment_count_15min,0.005077777244150638,0.06361443526028106,20,3
employment_forced_walk_burden,0.004810819615704532,0.020169024090292653,20,4
grocery_mean_time,0.003172259171697078,0.015570883856048785,20,5
grocery_forced_walk_burden,0.0018366956725003546,0.009528135471648063,20,6
healthcare_car_effective_access,0.0018327760415559168,0.013148570273851957,20,7
healthcare_min_time,0.001388025292180828,0.006379186365320789,20,8
healthcare_median_time,0.0013663959631230681,0.00675874105195292,20,9
grocery_percentile,0.0013615799306535338,0.0065761695363909835,20,10
employment_transit_dependence,0.0010244989449802234,0.0033005147613064693,20,11
healthcare_count_10min,0.0009120178403009049,0.002834430311736789,20,12
build_to_land_ratio,0.0007656002144358354,0.0038371987200175356,20,13
healthcare_percentile,0.000609579096590096,0.0035244494506709674,20,14
employment_min_time,0.0005861854677277733,0.0024312952857775552,20,15
employment_modal_access_gap,0.0004639578124624677,0.0040933660124593445,20,16
log_bldg_footprint_m2,0.0003398466312319215,0.0020314651615681964,20,17
log_appvalue,0.0002739572491918807,0.0011271873351798756,20,18
healthcare_count_15min,0.0002695179009606363,0.001164767384777776,20,19
nlcd_land_cover,0.00019577026632759952,0.0010721327590825947,20,20
healthcare_count_5min,0.00010006904267356731,0.0006286994481260592,20,21
in_sfha,7.863044624514259e-05,0.00036112892324181254,20,22
healthcare_dispersion,4.3439865680738873e-05,0.0001301073160229201,20,23
grocery_dispersion,3.98063648731295e-05,0.0002005164631251896,20,24
employment_dispersion,3.391265792060949e-05,0.0001470845671328297,20,25
proptype_rental_40pct,2.3450851398365557e-05,7.20493078193197e-05,20,26
healthcare_time_range,2.1009445845265873e-05,0.00024219766186950857,20,27
healthcare_drive_advantage,1.7585754574156453e-05,8.83652565112613e-05,20,28
grocery_drive_advantage,9.55581681409967e-06,4.4191857960416854e-05,20,29
employment_drive_advantage,2.4414062693267622e-06,7.572362470952383e-06,20,30
lucode_industrial,3.8146970382513246e-07,2.6283702273498803e-06,20,31
proptype_commercial,2.9563916541519576e-07,8.284100004131705e-05,20,32
pct_unemployed,0.0,0.0,20,33
population,0.0,0.0,20,34
pct_uninsured,0.0,0.0,20,35
housing_units,0.0,0.0,20,36
pct_poverty,0.0,0.0,20,37
pct_no_vehicle,0.0,0.0,20,38
pct_mobile_homes,0.0,0.0,20,39
pct_no_hs_diploma,0.0,0.0,20,40
pct_crowded,0.0,0.0,20,41
lucode_commercial,-1.9073487464993377e-07,1.5233672017866368e-06,20,42
employment_time_range,-3.7765503066111706e-06,1.596805116648603e-05,20,43
proptype_cha_housing,-3.967285374528729e-06,8.103605048724477e-05,20,44
grocery_time_range,-5.817413170916552e-06,4.58377087065972e-05,20,45
proptype_apartment_10plus,-2.77042364814406e-05,0.00020330799868876204,20,46
employment_percentile,-4.764556997542968e-05,0.0003123480876115184,20,47
log_acres,-6.422042977192178e-05,0.0009890474500317144,20,48
proptype_residential,-7.481575036649701e-05,0.0002677456846146691,20,49
is_residential,-0.00012227058527969348,0.00039371696123257537,20,50
healthcare_forced_walk_burden,-0.00017723560076774448,0.001378254317213887,20,51
grocery_count_10min,-0.0001891804049591883,0.016272350006159276,20,52
grocery_car_effective_access,-0.0003549384833604563,0.00372712385935239,20,53
lucode_residential,-0.000450086593616561,0.001851313213909289,20,54
grocery_modal_access_gap,-0.0005922460591136769,0.004842340017460974,20,55
lucode_other,-0.000607376080006361,0.002708960251491671,20,56
employment_car_effective_access,-0.0007987880599102937,0.0028768623814746756,20,57
grocery_median_time,-0.0010070515101688216,0.007154504009829354,20,58
grocery_count_15min,-0.001120133483709651,0.01569763623412212,20,59
bldg_vertex_count,-0.0012819719784602057,0.006342103915288642,20,60
grocery_min_time,-0.0017055511028047476,0.005728079538269426,20,61
employment_median_time,-0.001711196925953118,0.00383492075916003,20,62
healthcare_mean_time,-0.0018645382262917564,0.005649848997160539,20,63
grocery_walk_effective_access,-0.0027152488662977705,0.03378815314741253,20,64
healthcare_walk_effective_access,-0.0028789901681420815,0.013768639222815278,20,65
nlcd_tree_canopy_pct,-0.003862347574613523,0.02542967092795769,20,66
employment_mean_time,-0.003911914891432389,0.019070044147293776,20,67
grocery_count_5min,-0.0039295578444580315,0.0141187142614654,20,68
healthcare_transit_dependence,-0.005969881943019573,0.018374062698947712,20,69
grocery_transit_dependence,-0.006702227500500158,0.026256708152867143,20,70
nlcd_impervious_pct,-0.006937203770212364,0.03659979061386591,20,71
healthcare_modal_access_gap,-0.010011567926267163,0.029195217070579007,20,72
employment_count_5min,-0.026831383231910876,0.15442494677598648,20,73
