feature,feature_class,eta_sq,within_share,within_std_ratio,zero_variance,tract_svi_r,tract_svi_r_n100,tract_svi_r2
lat,coordinate,0.97858187,0.02141813,0.12401419,False,-0.16954449,-0.27500530,0.02874533
lon,coordinate,0.97882321,0.02117679,0.09364148,False,-0.27431551,-0.18398919,0.07524900
employment_min_time,accessibility,0.21687659,0.78312341,0.74136787,False,-0.39331526,-0.34132870,0.15469689
employment_mean_time,accessibility,0.76977259,0.23022741,0.36398817,False,-0.41956700,-0.37650262,0.17603646
employment_median_time,accessibility,0.82830738,0.17169262,0.31799030,False,-0.38514490,-0.33693198,0.14833660
employment_count_5min,accessibility,0.66354122,0.33645878,0.32836504,False,0.19210560,0.14253770,0.03690456
employment_count_10min,accessibility,0.86134481,0.13865519,0.25437152,False,0.32999416,0.27448275,0.10889615
employment_count_15min,accessibility,0.86636395,0.13363605,0.30388805,False,0.35987467,0.30249394,0.12950978
employment_drive_advantage,accessibility,0.84212125,0.15787875,0.35506838,False,0.02787306,0.07578243,0.00077691
employment_dispersion,accessibility,0.92307283,0.07692717,0.24024908,False,0.26900751,0.22440283,0.07236504
employment_time_range,accessibility,0.21305239,0.78694761,0.00000000,False,0.33127635,0.39314342,0.10974402
employment_percentile,accessibility,0.00000633,0.99999367,0.99996663,False,0.38694014,0.09878776,0.14972267
healthcare_min_time,accessibility,0.59583145,0.40416855,0.49380172,False,-0.15881826,-0.09817195,0.02522324
healthcare_mean_time,accessibility,0.76113799,0.23886201,0.35932364,False,-0.38761074,-0.33203118,0.15024208
healthcare_median_time,accessibility,0.82005722,0.17994278,0.33145488,False,-0.35571939,-0.29256947,0.12653628
healthcare_count_5min,accessibility,0.37658877,0.62341123,0.37596311,False,-0.29718507,-0.37487654,0.08831896
healthcare_count_10min,accessibility,0.76937481,0.23062519,0.38052320,False,0.23271187,0.16990558,0.05415482
healthcare_count_15min,accessibility,0.72531900,0.27468100,0.44861863,False,0.39874059,0.30828701,0.15899406
healthcare_drive_advantage,accessibility,0.87452026,0.12547974,0.31882633,False,-0.06184702,-0.03626119,0.00382505
healthcare_dispersion,accessibility,0.78992770,0.21007230,0.44990647,False,0.14616426,0.04182515,0.02136399
healthcare_time_range,accessibility,0.68866532,0.31133468,0.51596551,False,-0.03890463,-0.12539767,0.00151357
healthcare_percentile,accessibility,0.00001330,0.99998670,0.99995052,False,0.36637024,-0.04788986,0.13422715
grocery_min_time,accessibility,0.49744964,0.50255036,0.52352164,False,-0.27623240,-0.29301341,0.07630434
grocery_mean_time,accessibility,0.77196848,0.22803152,0.37127881,False,-0.45580298,-0.46176579,0.20775635
grocery_median_time,accessibility,0.79051241,0.20948759,0.35475689,False,-0.47531246,-0.47811763,0.22592194
grocery_count_5min,accessibility,0.54083940,0.45916060,0.52263925,False,0.45652832,0.41236678,0.20841810
grocery_count_10min,accessibility,0.79423117,0.20576883,0.36124351,False,0.44350288,0.41267683,0.19669480
grocery_count_15min,accessibility,0.82573819,0.17426181,0.34883127,False,0.46897025,0.44780429,0.21993309
grocery_drive_advantage,accessibility,0.85204255,0.14795745,0.33802799,False,-0.04748075,-0.00720181,0.00225442
grocery_dispersion,accessibility,0.82360985,0.17639015,0.38247829,False,0.39959489,0.36164056,0.15967608
grocery_time_range,accessibility,0.63428594,0.36571406,0.12192641,False,0.30957702,0.37365930,0.09583793
grocery_percentile,accessibility,0.00001351,0.99998649,0.99996095,False,0.36903668,-0.02963634,0.13618807
employment_transit_dependence,modal,0.21823295,0.78176705,0.77672353,False,-0.39333351,-0.32748595,0.15471125
employment_car_effective_access,modal,0.20586991,0.79413009,0.80705904,False,-0.39003197,-0.31792477,0.15212494
employment_walk_effective_access,modal,0.86134315,0.13865685,0.25437882,False,0.32999203,0.27448111,0.10889474
employment_modal_access_gap,modal,0.20586991,0.79413009,0.80705904,False,-0.39003197,-0.31792477,0.15212494
employment_forced_walk_burden,modal,0.00183593,0.99816407,0.19636610,False,-0.21509424,-0.19356196,0.04626553
healthcare_transit_dependence,modal,0.65579716,0.34420284,0.43650415,False,-0.10061652,-0.00950247,0.01012368
healthcare_car_effective_access,modal,0.65882874,0.34117126,0.44007056,False,-0.08098538,0.01618498,0.00655863
healthcare_walk_effective_access,modal,0.76937481,0.23062519,0.38052320,False,0.23271187,0.16990558,0.05415482
healthcare_modal_access_gap,modal,0.65882874,0.34117126,0.44007056,False,-0.08098538,0.01618498,0.00655863
